CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2344,F2345,
,,,,,Central heating in household; type of : No central heating - Unit : Households,Central heating in household; type of : Does have central heating - Unit : Households,
30278,E01011337,Leeds 058D,Lower Super Output Areas and Data Zones,LSOADZ,12,457,
30279,E01011338,Leeds 064A,Lower Super Output Areas and Data Zones,LSOADZ,15,725,
30280,E01011339,Leeds 060A,Lower Super Output Areas and Data Zones,LSOADZ,47,776,
30281,E01011340,Leeds 060B,Lower Super Output Areas and Data Zones,LSOADZ,67,626,
30282,E01011341,Leeds 061A,Lower Super Output Areas and Data Zones,LSOADZ,28,609,
30283,E01011342,Leeds 060C,Lower Super Output Areas and Data Zones,LSOADZ,20,549,
30284,E01011343,Leeds 061B,Lower Super Output Areas and Data Zones,LSOADZ,24,783,
30285,E01011344,Leeds 065A,Lower Super Output Areas and Data Zones,LSOADZ,125,699,
30286,E01011345,Leeds 061C,Lower Super Output Areas and Data Zones,LSOADZ,38,589,
30287,E01011346,Leeds 060D,Lower Super Output Areas and Data Zones,LSOADZ,22,799,
30288,E01011347,Leeds 065B,Lower Super Output Areas and Data Zones,LSOADZ,120,656,
30289,E01011348,Leeds 065C,Lower Super Output Areas and Data Zones,LSOADZ,47,589,
30290,E01011349,Leeds 065D,Lower Super Output Areas and Data Zones,LSOADZ,70,892,
30291,E01011350,Leeds 034A,Lower Super Output Areas and Data Zones,LSOADZ,16,697,
30292,E01011351,Leeds 034B,Lower Super Output Areas and Data Zones,LSOADZ,39,839,
30293,E01011352,Leeds 034C,Lower Super Output Areas and Data Zones,LSOADZ,53,834,
30294,E01011353,Leeds 034D,Lower Super Output Areas and Data Zones,LSOADZ,25,797,
30295,E01011354,Leeds 038A,Lower Super Output Areas and Data Zones,LSOADZ,51,573,
30296,E01011355,Leeds 038B,Lower Super Output Areas and Data Zones,LSOADZ,48,528,
30297,E01011356,Leeds 042A,Lower Super Output Areas and Data Zones,LSOADZ,33,864,
30298,E01011357,Leeds 038C,Lower Super Output Areas and Data Zones,LSOADZ,79,801,
30299,E01011358,Leeds 042B,Lower Super Output Areas and Data Zones,LSOADZ,69,626,
30300,E01011359,Leeds 042C,Lower Super Output Areas and Data Zones,LSOADZ,47,698,
30301,E01011360,Leeds 042D,Lower Super Output Areas and Data Zones,LSOADZ,36,686,
30302,E01011361,Leeds 042E,Lower Super Output Areas and Data Zones,LSOADZ,52,1038,
30303,E01011362,Leeds 081A,Lower Super Output Areas and Data Zones,LSOADZ,95,879,
30304,E01011363,Leeds 071E,Lower Super Output Areas and Data Zones,LSOADZ,67,668,
30305,E01011364,Leeds 085A,Lower Super Output Areas and Data Zones,LSOADZ,47,738,
30306,E01011366,Leeds 082A,Lower Super Output Areas and Data Zones,LSOADZ,87,670,
30307,E01011368,Leeds 082C,Lower Super Output Areas and Data Zones,LSOADZ,76,535,
30308,E01011369,Leeds 090E,Lower Super Output Areas and Data Zones,LSOADZ,53,674,
30309,E01011370,Leeds 082D,Lower Super Output Areas and Data Zones,LSOADZ,110,588,
30310,E01011371,Leeds 085B,Lower Super Output Areas and Data Zones,LSOADZ,28,700,
30311,E01011372,Leeds 086C,Lower Super Output Areas and Data Zones,LSOADZ,61,460,
30312,E01011373,Leeds 085C,Lower Super Output Areas and Data Zones,LSOADZ,48,526,
30313,E01011374,Leeds 085D,Lower Super Output Areas and Data Zones,LSOADZ,125,470,
30314,E01011375,Leeds 086D,Lower Super Output Areas and Data Zones,LSOADZ,135,554,
30315,E01011376,Leeds 013A,Lower Super Output Areas and Data Zones,LSOADZ,8,615,
30316,E01011377,Leeds 013B,Lower Super Output Areas and Data Zones,LSOADZ,5,602,
30317,E01011378,Leeds 013C,Lower Super Output Areas and Data Zones,LSOADZ,2,683,
30318,E01011379,Leeds 017A,Lower Super Output Areas and Data Zones,LSOADZ,19,749,
30319,E01011380,Leeds 016A,Lower Super Output Areas and Data Zones,LSOADZ,14,665,
30320,E01011381,Leeds 016B,Lower Super Output Areas and Data Zones,LSOADZ,6,503,
30321,E01011382,Leeds 013D,Lower Super Output Areas and Data Zones,LSOADZ,15,647,
30322,E01011383,Leeds 019A,Lower Super Output Areas and Data Zones,LSOADZ,22,720,
30323,E01011384,Leeds 017B,Lower Super Output Areas and Data Zones,LSOADZ,29,631,
30324,E01011385,Leeds 016C,Lower Super Output Areas and Data Zones,LSOADZ,4,521,
30325,E01011386,Leeds 016D,Lower Super Output Areas and Data Zones,LSOADZ,6,615,
30326,E01011388,Leeds 019B,Lower Super Output Areas and Data Zones,LSOADZ,11,632,
30327,E01011390,Leeds 087A,Lower Super Output Areas and Data Zones,LSOADZ,9,603,
30328,E01011391,Leeds 087B,Lower Super Output Areas and Data Zones,LSOADZ,9,717,
30329,E01011392,Leeds 087C,Lower Super Output Areas and Data Zones,LSOADZ,8,635,
30330,E01011393,Leeds 103C,Lower Super Output Areas and Data Zones,LSOADZ,19,674,
30331,E01011394,Leeds 103D,Lower Super Output Areas and Data Zones,LSOADZ,10,487,
30332,E01011395,Leeds 103E,Lower Super Output Areas and Data Zones,LSOADZ,11,453,
30333,E01011396,Leeds 074A,Lower Super Output Areas and Data Zones,LSOADZ,28,772,
30334,E01011397,Leeds 077A,Lower Super Output Areas and Data Zones,LSOADZ,7,595,
30335,E01011398,Leeds 077B,Lower Super Output Areas and Data Zones,LSOADZ,25,473,
30336,E01011399,Leeds 074B,Lower Super Output Areas and Data Zones,LSOADZ,14,609,
30337,E01011400,Leeds 074C,Lower Super Output Areas and Data Zones,LSOADZ,4,593,
30338,E01011401,Leeds 077C,Lower Super Output Areas and Data Zones,LSOADZ,17,584,
30339,E01011402,Leeds 087D,Lower Super Output Areas and Data Zones,LSOADZ,23,790,
30340,E01011403,Leeds 074D,Lower Super Output Areas and Data Zones,LSOADZ,11,602,
30341,E01011404,Leeds 077D,Lower Super Output Areas and Data Zones,LSOADZ,17,505,
30342,E01011405,Leeds 077E,Lower Super Output Areas and Data Zones,LSOADZ,7,620,
30343,E01011406,Leeds 057A,Lower Super Output Areas and Data Zones,LSOADZ,20,570,
30344,E01011407,Leeds 057B,Lower Super Output Areas and Data Zones,LSOADZ,31,622,
30345,E01011408,Leeds 057C,Lower Super Output Areas and Data Zones,LSOADZ,25,710,
30346,E01011409,Leeds 057D,Lower Super Output Areas and Data Zones,LSOADZ,47,588,
30347,E01011410,Leeds 057E,Lower Super Output Areas and Data Zones,LSOADZ,40,576,
30348,E01011411,Leeds 073A,Lower Super Output Areas and Data Zones,LSOADZ,11,654,
30349,E01011412,Leeds 057F,Lower Super Output Areas and Data Zones,LSOADZ,23,601,
30350,E01011413,Leeds 069A,Lower Super Output Areas and Data Zones,LSOADZ,22,562,
30351,E01011414,Leeds 073B,Lower Super Output Areas and Data Zones,LSOADZ,24,599,
30352,E01011415,Leeds 069B,Lower Super Output Areas and Data Zones,LSOADZ,43,675,
30353,E01011416,Leeds 069C,Lower Super Output Areas and Data Zones,LSOADZ,25,581,
30354,E01011417,Leeds 069D,Lower Super Output Areas and Data Zones,LSOADZ,38,686,
30355,E01011418,Leeds 073C,Lower Super Output Areas and Data Zones,LSOADZ,18,594,
30356,E01011419,Leeds 073D,Lower Super Output Areas and Data Zones,LSOADZ,8,488,
30357,E01011420,Leeds 069E,Lower Super Output Areas and Data Zones,LSOADZ,7,617,
30358,E01011421,Leeds 040A,Lower Super Output Areas and Data Zones,LSOADZ,68,539,
30359,E01011422,Leeds 048A,Lower Super Output Areas and Data Zones,LSOADZ,28,467,
30360,E01011423,Leeds 047A,Lower Super Output Areas and Data Zones,LSOADZ,57,550,
30361,E01011424,Leeds 047B,Lower Super Output Areas and Data Zones,LSOADZ,37,479,
30362,E01011425,Leeds 040B,Lower Super Output Areas and Data Zones,LSOADZ,25,581,
30363,E01011426,Leeds 048B,Lower Super Output Areas and Data Zones,LSOADZ,35,458,
30364,E01011427,Leeds 047C,Lower Super Output Areas and Data Zones,LSOADZ,64,499,
30365,E01011428,Leeds 048C,Lower Super Output Areas and Data Zones,LSOADZ,48,553,
30366,E01011429,Leeds 048D,Lower Super Output Areas and Data Zones,LSOADZ,33,660,
30367,E01011430,Leeds 053A,Lower Super Output Areas and Data Zones,LSOADZ,40,411,
30368,E01011431,Leeds 047D,Lower Super Output Areas and Data Zones,LSOADZ,61,708,
30369,E01011432,Leeds 053B,Lower Super Output Areas and Data Zones,LSOADZ,75,496,
30370,E01011433,Leeds 053C,Lower Super Output Areas and Data Zones,LSOADZ,94,574,
30371,E01011434,Leeds 053D,Lower Super Output Areas and Data Zones,LSOADZ,70,542,
30372,E01011435,Leeds 044A,Lower Super Output Areas and Data Zones,LSOADZ,24,538,
30373,E01011440,Leeds 044D,Lower Super Output Areas and Data Zones,LSOADZ,23,588,
30374,E01011441,Leeds 044E,Lower Super Output Areas and Data Zones,LSOADZ,27,622,
30375,E01011442,Leeds 110A,Lower Super Output Areas and Data Zones,LSOADZ,28,515,
30376,E01011443,Leeds 110B,Lower Super Output Areas and Data Zones,LSOADZ,25,454,
30377,E01011444,Leeds 110C,Lower Super Output Areas and Data Zones,LSOADZ,38,548,
30378,E01011445,Leeds 054A,Lower Super Output Areas and Data Zones,LSOADZ,3,433,
30379,E01011446,Leeds 054B,Lower Super Output Areas and Data Zones,LSOADZ,22,443,
30380,E01011447,Leeds 054C,Lower Super Output Areas and Data Zones,LSOADZ,18,387,
30381,E01011448,Leeds 054D,Lower Super Output Areas and Data Zones,LSOADZ,9,451,
30382,E01011449,Leeds 054E,Lower Super Output Areas and Data Zones,LSOADZ,37,529,
30383,E01011450,Leeds 038D,Lower Super Output Areas and Data Zones,LSOADZ,10,513,
30384,E01011451,Leeds 110D,Lower Super Output Areas and Data Zones,LSOADZ,16,450,
30385,E01011452,Leeds 027A,Lower Super Output Areas and Data Zones,LSOADZ,21,595,
30386,E01011453,Leeds 028A,Lower Super Output Areas and Data Zones,LSOADZ,14,647,
30387,E01011454,Leeds 027B,Lower Super Output Areas and Data Zones,LSOADZ,17,652,
30388,E01011455,Leeds 021A,Lower Super Output Areas and Data Zones,LSOADZ,5,476,
30389,E01011456,Leeds 021B,Lower Super Output Areas and Data Zones,LSOADZ,11,717,
30390,E01011457,Leeds 027C,Lower Super Output Areas and Data Zones,LSOADZ,8,583,
30391,E01011458,Leeds 027D,Lower Super Output Areas and Data Zones,LSOADZ,10,546,
30392,E01011459,Leeds 021C,Lower Super Output Areas and Data Zones,LSOADZ,31,712,
30393,E01011460,Leeds 028B,Lower Super Output Areas and Data Zones,LSOADZ,30,625,
30394,E01011461,Leeds 021D,Lower Super Output Areas and Data Zones,LSOADZ,5,606,
30395,E01011462,Leeds 028C,Lower Super Output Areas and Data Zones,LSOADZ,39,660,
30396,E01011463,Leeds 028D,Lower Super Output Areas and Data Zones,LSOADZ,43,706,
30397,E01011464,Leeds 028E,Lower Super Output Areas and Data Zones,LSOADZ,22,799,
30398,E01011465,Leeds 027E,Lower Super Output Areas and Data Zones,LSOADZ,57,728,
30399,E01011466,Leeds 094A,Lower Super Output Areas and Data Zones,LSOADZ,65,589,
30400,E01011467,Leeds 112A,Lower Super Output Areas and Data Zones,LSOADZ,12,635,
30401,E01011468,Leeds 112B,Lower Super Output Areas and Data Zones,LSOADZ,10,733,
30402,E01011469,Leeds 094B,Lower Super Output Areas and Data Zones,LSOADZ,45,596,
30403,E01011470,Leeds 112C,Lower Super Output Areas and Data Zones,LSOADZ,46,561,
30404,E01011471,Leeds 092A,Lower Super Output Areas and Data Zones,LSOADZ,30,606,
30405,E01011472,Leeds 092B,Lower Super Output Areas and Data Zones,LSOADZ,24,676,
30406,E01011473,Leeds 092C,Lower Super Output Areas and Data Zones,LSOADZ,24,608,
30407,E01011474,Leeds 092D,Lower Super Output Areas and Data Zones,LSOADZ,19,622,
30408,E01011475,Leeds 094C,Lower Super Output Areas and Data Zones,LSOADZ,78,612,
30409,E01011476,Leeds 094D,Lower Super Output Areas and Data Zones,LSOADZ,23,474,
30410,E01011477,Leeds 045A,Lower Super Output Areas and Data Zones,LSOADZ,37,829,
30411,E01011478,Leeds 056A,Lower Super Output Areas and Data Zones,LSOADZ,48,704,
30412,E01011479,Leeds 056B,Lower Super Output Areas and Data Zones,LSOADZ,38,505,
30413,E01011480,Leeds 045B,Lower Super Output Areas and Data Zones,LSOADZ,34,590,
30414,E01011481,Leeds 056C,Lower Super Output Areas and Data Zones,LSOADZ,50,589,
30415,E01011482,Leeds 056D,Lower Super Output Areas and Data Zones,LSOADZ,100,720,
30416,E01011483,Leeds 056E,Lower Super Output Areas and Data Zones,LSOADZ,33,632,
30417,E01011484,Leeds 033A,Lower Super Output Areas and Data Zones,LSOADZ,77,594,
30418,E01011485,Leeds 033B,Lower Super Output Areas and Data Zones,LSOADZ,53,693,
30419,E01011488,Leeds 045C,Lower Super Output Areas and Data Zones,LSOADZ,36,630,
30420,E01011489,Leeds 045D,Lower Super Output Areas and Data Zones,LSOADZ,39,784,
30421,E01011490,Leeds 099A,Lower Super Output Areas and Data Zones,LSOADZ,83,1095,
30422,E01011491,Leeds 101A,Lower Super Output Areas and Data Zones,LSOADZ,60,548,
30423,E01011492,Leeds 101B,Lower Super Output Areas and Data Zones,LSOADZ,30,523,
30424,E01011493,Leeds 101C,Lower Super Output Areas and Data Zones,LSOADZ,62,582,
30425,E01011494,Leeds 101D,Lower Super Output Areas and Data Zones,LSOADZ,25,516,
30426,E01011496,Leeds 100A,Lower Super Output Areas and Data Zones,LSOADZ,12,594,
30427,E01011497,Leeds 101E,Lower Super Output Areas and Data Zones,LSOADZ,28,643,
30428,E01011499,Leeds 105C,Lower Super Output Areas and Data Zones,LSOADZ,35,1018,
30429,E01011500,Leeds 105D,Lower Super Output Areas and Data Zones,LSOADZ,9,680,
30430,E01011502,Leeds 099C,Lower Super Output Areas and Data Zones,LSOADZ,39,556,
30431,E01011504,Leeds 032A,Lower Super Output Areas and Data Zones,LSOADZ,91,658,
30432,E01011505,Leeds 025A,Lower Super Output Areas and Data Zones,LSOADZ,25,633,
30433,E01011506,Leeds 025B,Lower Super Output Areas and Data Zones,LSOADZ,8,505,
30434,E01011507,Leeds 025C,Lower Super Output Areas and Data Zones,LSOADZ,14,646,
30435,E01011508,Leeds 024A,Lower Super Output Areas and Data Zones,LSOADZ,5,458,
30436,E01011509,Leeds 023A,Lower Super Output Areas and Data Zones,LSOADZ,17,620,
30437,E01011510,Leeds 025D,Lower Super Output Areas and Data Zones,LSOADZ,48,817,
30438,E01011511,Leeds 023B,Lower Super Output Areas and Data Zones,LSOADZ,14,515,
30439,E01011512,Leeds 023C,Lower Super Output Areas and Data Zones,LSOADZ,15,639,
30440,E01011513,Leeds 031A,Lower Super Output Areas and Data Zones,LSOADZ,20,916,
30441,E01011514,Leeds 025E,Lower Super Output Areas and Data Zones,LSOADZ,17,615,
30442,E01011515,Leeds 023D,Lower Super Output Areas and Data Zones,LSOADZ,15,637,
30443,E01011516,Leeds 023E,Lower Super Output Areas and Data Zones,LSOADZ,13,631,
30444,E01011517,Leeds 024B,Lower Super Output Areas and Data Zones,LSOADZ,42,689,
30445,E01011518,Leeds 093A,Lower Super Output Areas and Data Zones,LSOADZ,44,913,
30446,E01011519,Leeds 095A,Lower Super Output Areas and Data Zones,LSOADZ,48,600,
30447,E01011520,Leeds 096A,Lower Super Output Areas and Data Zones,LSOADZ,31,623,
30448,E01011521,Leeds 096B,Lower Super Output Areas and Data Zones,LSOADZ,39,869,
30449,E01011522,Leeds 095B,Lower Super Output Areas and Data Zones,LSOADZ,25,564,
30450,E01011523,Leeds 096C,Lower Super Output Areas and Data Zones,LSOADZ,37,734,
30451,E01011524,Leeds 093B,Lower Super Output Areas and Data Zones,LSOADZ,26,514,
30452,E01011525,Leeds 095C,Lower Super Output Areas and Data Zones,LSOADZ,49,653,
30453,E01011526,Leeds 093C,Lower Super Output Areas and Data Zones,LSOADZ,3,486,
30454,E01011527,Leeds 096D,Lower Super Output Areas and Data Zones,LSOADZ,20,752,
30455,E01011528,Leeds 095D,Lower Super Output Areas and Data Zones,LSOADZ,13,609,
30456,E01011529,Leeds 096E,Lower Super Output Areas and Data Zones,LSOADZ,30,550,
30457,E01011530,Leeds 106A,Lower Super Output Areas and Data Zones,LSOADZ,28,623,
30458,E01011531,Leeds 093D,Lower Super Output Areas and Data Zones,LSOADZ,22,654,
30459,E01011532,Leeds 095E,Lower Super Output Areas and Data Zones,LSOADZ,61,649,
30460,E01011533,Leeds 104A,Lower Super Output Areas and Data Zones,LSOADZ,81,606,
30461,E01011534,Leeds 106B,Lower Super Output Areas and Data Zones,LSOADZ,62,622,
30462,E01011535,Leeds 108A,Lower Super Output Areas and Data Zones,LSOADZ,24,634,
30463,E01011536,Leeds 108B,Lower Super Output Areas and Data Zones,LSOADZ,29,631,
30464,E01011537,Leeds 107A,Lower Super Output Areas and Data Zones,LSOADZ,31,916,
30465,E01011538,Leeds 107B,Lower Super Output Areas and Data Zones,LSOADZ,33,629,
30466,E01011540,Leeds 102B,Lower Super Output Areas and Data Zones,LSOADZ,41,600,
30467,E01011541,Leeds 104B,Lower Super Output Areas and Data Zones,LSOADZ,108,902,
30468,E01011545,Leeds 104C,Lower Super Output Areas and Data Zones,LSOADZ,74,577,
30469,E01011546,Leeds 106C,Lower Super Output Areas and Data Zones,LSOADZ,78,665,
30470,E01011547,Leeds 104D,Lower Super Output Areas and Data Zones,LSOADZ,43,791,
30471,E01011548,Leeds 106D,Lower Super Output Areas and Data Zones,LSOADZ,38,601,
30472,E01011549,Leeds 108C,Lower Super Output Areas and Data Zones,LSOADZ,2,510,
30473,E01011550,Leeds 106E,Lower Super Output Areas and Data Zones,LSOADZ,26,526,
30474,E01011551,Leeds 107C,Lower Super Output Areas and Data Zones,LSOADZ,24,623,
30475,E01011552,Leeds 107D,Lower Super Output Areas and Data Zones,LSOADZ,26,549,
30476,E01011553,Leeds 108D,Lower Super Output Areas and Data Zones,LSOADZ,27,588,
30477,E01011554,Leeds 012A,Lower Super Output Areas and Data Zones,LSOADZ,11,592,
30478,E01011555,Leeds 018A,Lower Super Output Areas and Data Zones,LSOADZ,14,547,
